descricao;endereco;area;quartos;wc;vagas;valor;condominio;wlink
Apartamento com 3 Quartos à Venda, 67m²;Rua Mário Chalbaud Biscaia, 782 - Novo Mundo, Curitiba - PR;67;3;2;1;R$ 360.000;R$ 320;https://www.vivareal.com.br/imovel/apartamento-3-quartos-novo-mundo-bairros-curitiba-com-garagem-67m2-venda-RS360000-id-2522878143/
Bosco Centrale;Rua Mariano Torres, 573 - Centro, Curitiba - PR;72-168;2-3;2-3;1-2;R$ 668.100;;https://www.vivareal.com.br/imoveis-lancamento/bosco-centrale-2484690127/
Casa de condomínio com 3 Quartos à Venda, 125m²;Rua Presidente João Goulart, 1495 - Tatuquara, Curitiba - PR;125;3;2;--;R$ 349.900;R$ 150;https://www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-tatuquara-bairros-curitiba-125m2-venda-RS349900-id-2520210176/
Casa com 3 Quartos à Venda, 97m²;Rua Hayton da Silva Pereira, ... - Capão da Imbuia, Curitiba - PR;97;3;2;2;R$ 395.000;;https://www.vivareal.com.br/imovel/casa-3-quartos-capao-da-imbuia-bairros-curitiba-com-garagem-97m2-venda-RS395000-id-2523135700/
Apartamento com 2 Quartos à Venda, 82m²;Rua Jovino do Rosário, 1620 - Boa Vista, Curitiba - PR;82;2;2;1;R$ 365.000;R$ 324;https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-vista-bairros-curitiba-com-garagem-82m2-venda-RS365000-id-2520653143/
Apartamento com 3 Quartos à Venda, 141m²;Rua Desembargador Isaías Bevilaqua, 378 - Mercês, Curitiba - PR;141;3;4;2;R$ 1.115.000;R$ 830;https://www.vivareal.com.br/imovel/apartamento-3-quartos-merces-bairros-curitiba-com-garagem-141m2-venda-RS1115000-id-2521522187/
Apartamento com 2 Quartos à Venda, 46m²;Rua Carolina Castelli, 482 - Novo Mundo, Curitiba - PR;46;2;1;1;R$ 179.000;R$ 288;https://www.vivareal.com.br/imovel/apartamento-2-quartos-novo-mundo-bairros-curitiba-com-garagem-46m2-venda-RS179000-id-2509103089/
Apartamento com 2 Quartos à Venda, 48m²;Rua Rio Grande do Sul, 907 - Água Verde, Curitiba - PR;48;2;1;1;R$ 239.000;R$ 310;https://www.vivareal.com.br/imovel/apartamento-2-quartos-agua-verde-bairros-curitiba-com-garagem-48m2-venda-RS239000-id-2503697884/
Bosco Centrale;Rua Mariano Torres, 573 - Centro, Curitiba - PR;72-168;3;2-3;1-2;R$ 656.000;;https://www.vivareal.com.br/imoveis-lancamento/bosco-centrale-2481674976/
Apartamento com  Quarto à Venda, 25m²;Rua XV de Novembro, 2050 - Alto da Rua XV, Curitiba - PR;25;1;1;--;R$ 145.000;R$ 780;https://www.vivareal.com.br/imovel/apartamento-1-quartos-alto-da-rua-xv-bairros-curitiba-25m2-venda-RS145000-id-2521691173/
